Category: All categories

Week,house pet: (Canada),house plant: (Canada)
2022-05-01,40,65
2022-05-08,34,91
2022-05-15,39,81
2022-05-22,59,100
2022-05-29,44,73
2022-06-05,37,72
2022-06-12,47,90
2022-06-19,53,84
2022-06-26,35,67
2022-07-03,30,48
2022-07-10,56,47
2022-07-17,50,56
2022-07-24,43,61
2022-07-31,57,67
2022-08-07,32,52
2022-08-14,68,56
2022-08-21,35,63
2022-08-28,44,64
2022-09-04,33,70
2022-09-11,32,54
2022-09-18,41,66
2022-09-25,36,58
2022-10-02,32,52
2022-10-09,35,59
2022-10-16,29,56
2022-10-23,38,43
2022-10-30,32,51
2022-11-06,56,62
2022-11-13,36,35
2022-11-20,47,34
2022-11-27,43,49
2022-12-04,34,41
2022-12-11,30,46
2022-12-18,33,32
2022-12-25,27,53
2023-01-01,36,53
2023-01-08,32,51
2023-01-15,37,56
2023-01-22,43,40
2023-01-29,39,44
2023-02-05,36,48
2023-02-12,33,41
2023-02-19,41,59
2023-02-26,44,46
2023-03-05,32,66
2023-03-12,39,50
2023-03-19,42,76
2023-03-26,43,63
2023-04-02,41,88
2023-04-09,40,82
2023-04-16,46,74
